# build script suffix	archive	source directory	SHA-256	upstream URL
zlib	zlib-1.3.1.tar.gz	zlib-1.3.1	9a93b2b7dfdac77ceba5a558a580e74667dd6fede4585b91eefb60f03b72df23	https://github.com/madler/zlib/releases/download/v1.3.1/zlib-1.3.1.tar.gz
brotli	brotli-v1.0.9.tar.gz	brotli-1.0.9	f9e8d81d0405ba66d181529af42a3354f838c939095ff99930da6aa9cdf6fe46	https://github.com/google/brotli/archive/refs/tags/v1.0.9.tar.gz
libjpeg-turbo	libjpeg-turbo-2.1.3.tar.gz	libjpeg-turbo-2.1.3	dbda0c685942aa3ea908496592491e5ec8160d2cf1ec9d5fd5470e50768e7859	https://github.com/libjpeg-turbo/libjpeg-turbo/archive/2.1.3.tar.gz
libpng	libpng-1.6.58.tar.xz	libpng-1.6.58	28eb403f51f0f7405249132cecfe82ea5c0ef97f1b32c5a65828814ae0d34775	http://prdownloads.sourceforge.net/libpng/libpng-1.6.58.tar.xz
zstd	zstd-1.5.7.tar.gz	zstd-1.5.7	eb33e51f49a15e023950cd7825ca74a4a2b43db8354825ac24fc1b7ee09e6fa3	https://github.com/facebook/zstd/releases/download/v1.5.7/zstd-1.5.7.tar.gz
fmt	fmt-12.1.0.tar.gz	fmt-12.1.0	ea7de4299689e12b6dddd392f9896f08fb0777ac7168897a244a6d6085043fea	https://github.com/fmtlib/fmt/archive/refs/tags/12.1.0.tar.gz
freetype	freetype-2.13.3.tar.gz	freetype-2.13.3	5c3a8e78f7b24c20b25b54ee575d6daa40007a5f4eea2845861c3409b3021747	http://prdownloads.sourceforge.net/freetype/freetype-2.13.3.tar.gz
eigen	eigen-8a1083e9bf41b91fdea6546681f806154efdc25a.tar.gz	eigen-8a1083e9bf41b91fdea6546681f806154efdc25a	cc28a84fdec496c6777596350ea805519bf10f717d21044ae6ba3dd562183a26	https://gitlab.com/libeigen/eigen/-/archive/8a1083e9bf41b91fdea6546681f806154efdc25a/eigen-8a1083e9bf41b91fdea6546681f806154efdc25a.tar.gz
imath	imath-3.2.2.tar.gz	Imath-3.2.2	b4275d83fb95521510e389b8d13af10298ed5bed1c8e13efd961d91b1105e462	https://github.com/AcademySoftwareFoundation/Imath/archive/v3.2.2.tar.gz
openjph	openjph-v0.25.2.tar.gz	OpenJPH-0.25.2	ae5f09562cb811cb2fb881c5eb74583e18db941848cfa3c35787e2580f3defc6	https://github.com/aous72/OpenJPH/archive/refs/tags/0.25.2.tar.gz
libdeflate	libdeflate-v1.18.tar.gz	libdeflate-1.18	225d982bcaf553221c76726358d2ea139bb34913180b20823c782cede060affd	https://github.com/ebiggers/libdeflate/archive/refs/tags/v1.18.tar.gz
openexr	openexr-3.4.10.tar.gz	openexr-3.4.10	b61ae2d0fa4872c5f5fc45618f107945df37c0eba4853263091b949c513d3319	https://github.com/AcademySoftwareFoundation/openexr/archive/v3.4.10.tar.gz
expat	libexpat-2_7_5.tar.gz	libexpat-R_2_7_5	7e23daf05f0ab028570d709ce48d724802baa6e4fbfa4db9b7cee3b72ee2062b	https://github.com/libexpat/libexpat/archive/R_2_7_5.tar.gz
yaml-cpp	yaml-cpp-0.8.0.tar.gz	yaml-cpp-0.8.0	fbe74bbdcee21d656715688706da3c8becfd946d92cd44705cc6098bb23b3a16	https://github.com/jbeder/yaml-cpp/archive/refs/tags/0.8.0.tar.gz
pystring	pystring-v1.1.3.tar.gz	pystring-1.1.3	358a56e756e701836b69a31c75d3d9d41c34d447cf7b3775bbd5620dcd3203d9	https://codeload.github.com/imageworks/pystring/tar.gz/refs/tags/v1.1.3
minizip-ng	minizip-ng-4.0.10.tar.gz	minizip-ng-4.0.10	c362e35ee973fa7be58cc5e38a4a6c23cc8f7e652555daf4f115a9eb2d3a6be7	https://github.com/zlib-ng/minizip-ng/archive/4.0.10.tar.gz
opencolorio	OpenColorIO-2.5.0.tar.gz	OpenColorIO-2.5.0	124e2bfa8a9071959d6ddbb64ffbf78d3f6fe3c923ae23e96a6bbadde1af55b6	https://github.com/AcademySoftwareFoundation/OpenColorIO/archive/v2.5.0.tar.gz
tiff	tiff-4.7.1.tar.gz	tiff-4.7.1	f698d94f3103da8ca7438d84e0344e453fe0ba3b7486e04c5bf7a9a3fabe9b69	http://download.osgeo.org/libtiff/tiff-4.7.1.tar.gz
robin-map	robinmap-v1.3.0.tar.gz	robin-map-1.3.0	a8424ad3b0affd4c57ed26f0f3d8a29604f0e1f2ef2089f497f614b1c94c7236	https://github.com/Tessil/robin-map/archive/refs/tags/v1.3.0.tar.gz
